,Date,Shipping_price,Gas_consumtion
120,2010-05-04,"3 352,000","2572,183915"
121,2010-05-05,"3 379,000","2625,575036"
122,2010-05-06,"3 468,000","2719,576272"
123,2010-05-07,"3 608,000","2700,464072"
124,2010-05-08,"3 707,000","2431,08834"
125,2010-05-09,"3 707,000","2306,571896"
126,2010-05-10,"3 707,000","2425,964594"
127,2010-05-11,"3 822,000","2354,494177"
128,2010-05-12,"3 888,000","2348,027958"
129,2010-05-13,"3 914,000","2325,071115"
130,2010-05-14,"3 929,000","2521,48494"
131,2010-05-15,"3 922,000","2401,938825"
132,2010-05-16,"3 922,000","2348,674412"
133,2010-05-17,"3 922,000","2341,853363"
134,2010-05-18,"3 882,000","2341,973234"
135,2010-05-19,"3 832,000","2294,983578"
136,2010-05-20,"3 803,000","2191,393402"
137,2010-05-21,"3 844,000","2009,426927"
138,2010-05-22,"3 943,000","1788,575119"
139,2010-05-23,"3 943,000","1428,080408"
140,2010-05-24,"3 943,000","1429,766397"
141,2010-05-25,"4 187,000","1724,326446"
142,2010-05-26,"4 209,000","1826,140318"
143,2010-05-27,"4 156,000","1861,342623"
144,2010-05-28,"4 078,000","1869,765967"
145,2010-05-29,"4 074,000","1706,983834"
146,2010-05-30,"4 074,000","1741,091577"
147,2010-05-31,"4 074,000","1961,075059"
148,2010-06-01,"4 074,000","1957,611703"
149,2010-06-02,"4 041,000","1925,031542"
150,2010-06-03,"3 933,000","1804,405111"
151,2010-06-04,"3 844,000","1739,0496"
152,2010-06-05,"3 733,000","1580,398786"
153,2010-06-06,"3 733,000","1454,582336"
154,2010-06-07,"3 733,000","1504,234236"
155,2010-06-08,"3 579,000","1422,231687"
156,2010-06-09,"3 514,000","1331,314092"
157,2010-06-10,"3 423,000","1315,239572"
158,2010-06-11,"3 288,000","1324,184098"
159,2010-06-12,"3 115,000","1422,374964"
160,2010-06-13,"3 115,000","1551,041226"
161,2010-06-14,"3 115,000","1624,84419"
162,2010-06-15,"3 020,000","1660,863687"
163,2010-06-16,"2 893,000","1672,736213"
164,2010-06-17,"2 784,000","1632,889364"
