"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"E";"2023-09-13";"238.5007";"94.04";"0";"905.3031";"26.34";"86.2";"83.2";"253.6277";"4265.12";"6810.03"
"E";"2023-09-12";"238.4977";"94.03";"0";"905.3031";"26.34";"133.15";"121.6";"253.6277";"4265.12";"6810.03"
"E";"2023-09-11";"238.5025";"94.04";"-0.01";"905.3031";"26.35";"132.3";"144.6";"253.6277";"4265.12";"6810.03"
"E";"2023-09-10";"238.5265";"94.05";"0.03";"905.3031";"26.35";"180.91";"102.8";"253.6277";"4265.12";"6810.03"
"E";"2023-09-09";"238.4484";"94.02";"0.05";"905.3031";"26.34";"205.83";"83.8";"253.6277";"4265.12";"6810.03"
"E";"2023-09-08";"238.3263";"93.97";"-0.02";"905.3031";"26.33";"159.5";"210.8";"253.6277";"4265.12";"6810.03"
"E";"2023-09-07";"238.3769";"93.99";"0";"905.3031";"26.33";"149.02";"155.4";"253.6277";"4265.12";"6810.03"
"E";"2023-09-06";"238.3832";"93.99";"0.01";"905.3031";"26.33";"144.1";"130.1";"253.6277";"4265.12";"6810.03"
"C";"2023-09-05";"238.3681";"94.02";"0.03";"905.3031";"26.33";"146.06";"76.7";"253.5177";"4265.12";"6810.03"
"E";"2023-09-04";"238.2944";"94";"0.02";"905.3031";"26.32";"195.48";"148.4";"253.5177";"4265.12";"6810.03"
"E";"2023-09-03";"238.2473";"93.98";"0.12";"905.3031";"26.32";"521.43";"210.4";"253.5177";"4265.12";"6810.03"
"E";"2023-09-02";"237.9362";"93.85";"0.13";"905.3031";"26.28";"474.69";"156";"253.5177";"4265.12";"6810.03"
"C";"2023-09-01";"237.6171";"93.73";"0.25";"905.3031";"26.25";"358.27";"19.3";"253.5177";"4265.12";"6810.03"
"C";"2023-08-31";"236.9783";"93.81";"0.02";"905.3031";"26.18";"186.37";"90.2";"252.611";"4265.12";"6810.03"
"E";"2023-08-30";"236.9262";"93.88";"0.02";"905.3031";"26.17";"127.55";"83.6";"252.3734";"4265.12";"6810.03"
"C";"2023-08-29";"236.8822";"93.86";"-0.09";"905.3031";"26.17";"83.77";"308.3";"252.3734";"4265.12";"6810.03"
"E";"2023-08-28";"237.1061";"93.95";"0.03";"905.3031";"26.19";"157.64";"95.2";"252.3734";"4265.12";"6810.03"
"C";"2023-08-27";"237.0301";"93.92";"0.19";"905.3031";"26.18";"488.95";"14.3";"252.3734";"4265.12";"6810.03"
"C";"2023-08-26";"236.5554";"93.73";"0.17";"905.3031";"26.13";"461.57";"13.5";"252.3734";"4265.12";"6810.03"
"C";"2023-08-25";"236.1212";"93.56";"0.09";"905.3031";"26.08";"229.21";"0.8";"252.3734";"4265.12";"6810.03"
"C";"2023-08-24";"235.8929";"93.47";"0.07";"905.3031";"26.06";"200.62";"15.9";"252.3734";"4265.12";"6810.03"
"C";"2023-08-23";"235.7082";"93.4";"0.08";"905.3031";"26.04";"217.69";"6.5";"252.3734";"4265.12";"6810.03"
"C";"2023-08-22";"235.4951";"93.31";"0.1";"905.3031";"26.01";"277.05";"33.8";"252.3734";"4265.12";"6810.03"
"C";"2023-08-21";"235.2454";"93.21";"0.17";"905.3031";"25.99";"470.5";"49.1";"252.3734";"4265.12";"6810.03"
"C";"2023-08-20";"234.8224";"93.05";"0.31";"905.3031";"25.94";"778.77";"4.1";"252.3738";"4265.12";"6810.03"
"C";"2023-08-19";"234.0466";"92.74";"0.36";"905.3031";"25.85";"938.42";"20";"252.3738";"4265.12";"6810.03"
"C";"2023-08-18";"233.1364";"92.38";"0.27";"905.3031";"25.75";"694.02";"1.7";"252.3738";"4265.12";"6810.03"
"C";"2023-08-17";"232.4445";"92.1";"0.3";"905.3031";"25.68";"767.46";"1.8";"252.3738";"4265.12";"6810.03"
"C";"2023-08-16";"231.6809";"91.79";"0.27";"905.3031";"25.59";"693.13";"0.8";"252.3977";"4265.12";"6810.03"
"C";"2023-08-15";"230.9889";"91.54";"0.27";"905.3031";"25.52";"670.81";"7.5";"252.3427";"4265.12";"6810.03"
"C";"2023-08-14";"230.3121";"91.85";"0.3";"905.3031";"25.44";"760.61";"1.8";"250.7427";"4265.12";"6810.03"
"C";"2023-08-13";"229.5482";"91.61";"0.44";"905.3031";"25.36";"1100.38";"9.3";"250.5627";"4265.12";"6810.03"
"C";"2023-08-12";"228.4492";"91.17";"0.45";"905.3031";"25.23";"1153.79";"0.2";"250.5627";"4265.12";"6810.03"
"C";"2023-08-11";"227.3221";"90.72";"0.33";"905.3031";"25.11";"837.01";"1.1";"250.5627";"4265.12";"6810.03"
"C";"2023-08-10";"226.4862";"90.39";"0.28";"905.3031";"25.02";"706.68";"0.3";"250.5627";"4265.12";"6810.03"
"C";"2023-08-09";"225.7798";"90.11";"0.27";"905.3031";"24.94";"679.96";"0.9";"250.5627";"4265.12";"6810.03"
"C";"2023-08-08";"225.1007";"89.84";"0.29";"905.3031";"24.86";"711.21";"0.8";"250.5627";"4265.12";"6810.03"
"C";"2023-08-07";"224.3646";"89.54";"0.28";"905.3031";"24.78";"725.71";"0.9";"250.5627";"4265.12";"6810.03"
"E";"2023-08-06";"223.6539";"89.26";"0.33";"905.3031";"24.7";"822.24";"0.4";"250.5627";"4265.12";"6810.03"
"C";"2023-08-05";"222.8331";"88.93";"0.31";"905.3031";"24.61";"789.64";"11.5";"250.5627";"4265.12";"6810.03"
"E";"2023-08-04";"222.056";"88.62";"0.19";"905.3031";"24.53";"495.22";"15.1";"250.5627";"4265.12";"6810.03"
"C";"2023-08-03";"221.5752";"88.43";"0.23";"905.3031";"24.48";"602.16";"11.7";"250.5627";"4265.12";"6810.03"
"C";"2023-08-02";"220.9876";"88.2";"0.31";"905.3031";"24.41";"777.09";"1.4";"250.5627";"4265.12";"6810.03"
"C";"2023-08-01";"220.2119";"87.89";"-0.24";"905.3031";"24.32";"623.82";"1198.5";"250.5627";"4265.12";"6810.03"
"C";"2023-07-31";"220.8059";"88.2";"0.38";"905.3031";"24.39";"928.25";"1.2";"250.3576";"4265.12";"6810.03"
"C";"2023-07-30";"219.8486";"87.82";"0.49";"905.3031";"24.28";"1240.08";"0.3";"250.3326";"4267.28";"6811.64"
"C";"2023-07-29";"218.6135";"87.33";"0.45";"905.3031";"24.15";"1160.64";"0.3";"250.3326";"4267.28";"6811.64"
"C";"2023-07-28";"217.4786";"86.88";"0.19";"905.3031";"24.02";"479.92";"8.6";"250.3326";"4267.28";"6811.64"
"C";"2023-07-27";"217.011";"86.69";"0.22";"905.3031";"23.97";"565.21";"4.6";"250.3326";"4267.28";"6811.64"
"C";"2023-07-26";"216.4527";"86.47";"0.24";"905.3031";"23.91";"595.17";"6";"250.3326";"4267.28";"6811.64"
"C";"2023-07-25";"215.8642";"86.23";"0.2";"905.3031";"23.84";"509.74";"5.4";"250.3326";"4267.28";"6811.64"
"C";"2023-07-24";"215.3522";"86.03";"0.22";"905.3031";"23.79";"534.8";"1.5";"250.3326";"4267.28";"6811.64"
"C";"2023-07-23";"214.7982";"85.81";"0.39";"905.3031";"23.73";"975.59";"2.6";"250.3326";"4267.28";"6811.64"
"C";"2023-07-22";"213.8251";"85.42";"0.36";"905.3031";"23.62";"934.14";"12.3";"250.3326";"4267.28";"6811.64"
"C";"2023-07-21";"212.9313";"85.06";"0.16";"905.3031";"23.52";"417.14";"9.1";"250.3326";"4267.28";"6811.64"
"C";"2023-07-20";"212.5255";"84.9";"0.12";"905.3031";"23.48";"308.23";"18";"250.3326";"4267.28";"6811.64"
"E";"2023-07-19";"212.2197";"84.82";"0.15";"905.3031";"23.44";"406.77";"27.3";"250.2086";"4265.64";"6811.64"
"C";"2023-07-18";"211.842";"84.67";"0.18";"905.3031";"23.4";"445.99";"4.2";"250.2086";"4265.64";"6811.64"
"C";"2023-07-17";"211.3989";"84.49";"0.24";"905.3031";"23.35";"622.97";"11.8";"250.2086";"4265.64";"6811.64"
"C";"2023-07-16";"210.8091";"84.25";"0.4";"905.3031";"23.29";"1009.26";"5.7";"250.2086";"4265.64";"6811.64"
"C";"2023-07-15";"209.8017";"83.85";"0.38";"905.3031";"23.17";"991.77";"4.8";"250.2086";"4265.64";"6811.64"
"C";"2023-07-14";"208.8425";"83.47";"0.22";"905.3031";"23.07";"570.33";"8.3";"250.2086";"4265.64";"6811.64"
"C";"2023-07-13";"208.2805";"83.24";"0.16";"905.3031";"23.01";"410.69";"9.1";"250.2086";"4265.64";"6811.64"
"C";"2023-07-12";"207.8737";"83.09";"0.15";"905.3031";"22.96";"391.37";"11.6";"250.1909";"4265.64";"6811.64"
"C";"2023-07-11";"207.5016";"82.94";"0.14";"905.3031";"22.92";"361.52";"13.8";"250.1909";"4265.64";"6811.64"
"C";"2023-07-10";"207.1539";"82.8";"0.17";"905.3031";"22.88";"423.97";"20.3";"250.1909";"4265.64";"6811.64"
"C";"2023-07-09";"206.7314";"82.36";"0.34";"905.3031";"22.84";"848.3";"5.1";"250.9968";"4265.64";"6811.64"
"C";"2023-07-08";"205.8815";"82.03";"0.36";"905.3031";"22.74";"916.14";"0.3";"250.9968";"4265.64";"6811.64"
"C";"2023-07-07";"204.979";"81.67";"0.25";"905.3031";"22.64";"623.41";"3";"250.9968";"4265.64";"6811.64"
"C";"2023-07-06";"204.3586";"81.42";"0.15";"905.3031";"22.57";"370.82";"5.6";"250.9968";"4265.64";"6811.64"
"C";"2023-07-05";"203.9934";"81.27";"0.21";"905.3031";"22.53";"540.36";"8.4";"250.9968";"4265.64";"6811.64"
"C";"2023-07-04";"203.4614";"81.06";"0.12";"905.3031";"22.47";"316.52";"22.2";"250.9968";"4265.64";"6811.64"
"C";"2023-07-03";"203.1663";"81.02";"0.27";"905.3031";"22.44";"695.63";"17.5";"250.7718";"4265.64";"6811.64"
"C";"2023-07-02";"202.477";"80.74";"0.34";"905.3031";"22.37";"878.59";"23.4";"250.7718";"4265.64";"6811.64"
"C";"2023-07-01";"201.6252";"80.4";"0.35";"905.3031";"22.27";"901.99";"23.9";"250.7718";"4265.64";"6811.64"
"C";"2023-06-30";"200.7565";"80.04";"0.1";"905.3031";"22.18";"276.85";"21.7";"250.8206";"4265.64";"6811.64"
"C";"2023-06-29";"200.5013";"79.94";"0.02";"905.3031";"22.15";"118.75";"56.7";"250.8206";"4265.64";"6811.64"
"C";"2023-06-28";"200.4393";"79.91";"0.01";"905.3031";"22.14";"102.72";"72.3";"250.8206";"4265.64";"6811.64"
"C";"2023-06-27";"200.4089";"79.9";"0.08";"905.3031";"22.14";"227.56";"38.2";"250.8206";"4265.64";"6811.64"
"C";"2023-06-26";"200.2198";"79.83";"0.2";"905.3031";"22.12";"533.79";"38.9";"250.8206";"4265.64";"6811.64"
"C";"2023-06-25";"199.7249";"79.63";"0.28";"905.3031";"22.06";"718.61";"20.2";"250.8206";"4265.64";"6811.64"
"C";"2023-06-24";"199.0265";"79.35";"0.3";"905.3031";"21.98";"746.22";"5.6";"250.8206";"4265.64";"6811.64"
"C";"2023-06-23";"198.2859";"79.05";"0.09";"905.3031";"21.9";"249.1";"18.9";"250.8206";"4265.64";"6811.64"
"C";"2023-06-22";"198.0557";"78.96";"0.01";"905.3031";"21.88";"100.43";"85";"250.8206";"4265.64";"6811.64"
"C";"2023-06-21";"198.0403";"78.96";"0.05";"905.3031";"21.88";"225.49";"105.8";"250.8206";"4265.64";"6811.64"
"C";"2023-06-20";"197.9206";"78.91";"0.1";"905.3031";"21.86";"275.97";"29.1";"250.8206";"4265.64";"6811.64"
"C";"2023-06-19";"197.6774";"78.81";"0.15";"905.3031";"21.84";"385.24";"21.1";"250.8206";"4265.64";"6811.64"
"C";"2023-06-18";"197.3132";"78.67";"0.33";"905.3031";"21.8";"842.92";"6.2";"250.8206";"4265.64";"6811.64"
"C";"2023-06-17";"196.4765";"78.33";"0.22";"905.3031";"21.7";"646.65";"93.9";"250.8206";"4265.64";"6811.64"
"C";"2023-06-16";"195.9238";"78.11";"0.18";"905.3031";"21.64";"467.32";"20.6";"250.8206";"4265.64";"6811.64"
"C";"2023-06-15";"195.477";"77.93";"0.13";"905.3031";"21.59";"344.04";"28.7";"250.8206";"4265.64";"6811.64"
"C";"2023-06-14";"195.1609";"77.81";"0.17";"905.3031";"21.56";"455.46";"37.5";"250.8206";"4265.64";"6811.64"
"C";"2023-06-13";"194.7415";"77.64";"0.26";"905.3031";"21.51";"582.83";"4.4";"250.8206";"4265.64";"6811.64"
"C";"2023-06-12";"194.0962";"77.38";"0.22";"905.3031";"21.44";"627.33";"71";"250.8206";"4270.01";"6811.64"
"C";"2023-06-11";"193.5399";"77.16";"0.36";"905.3031";"21.38";"909.87";"6.8";"250.8206";"4270.01";"6811.64"
"C";"2023-06-10";"192.6374";"76.8";"0.36";"905.3031";"21.28";"909.45";"6.9";"250.8206";"4270.01";"6811.64"
"C";"2023-06-09";"191.7343";"76.44";"0.22";"905.3031";"21.18";"560.57";"9.5";"250.8206";"4265.65";"6811.64"
"C";"2023-06-08";"191.1828";"76.22";"0.18";"905.3031";"21.12";"461.64";"4.8";"250.8206";"4255.3";"6798.87"
"C";"2023-06-07";"190.7325";"76.04";"0.07";"905.3031";"21.07";"227.4";"46";"250.8206";"4255.3";"6798.87"
"C";"2023-06-06";"190.5461";"75.97";"0.12";"905.3031";"21.05";"350.16";"47.3";"250.8206";"4255.3";"6798.87"
"C";"2023-06-05";"190.2449";"75.85";"0.16";"905.3031";"21.01";"431.14";"33.4";"250.8206";"4255.3";"6791.75"
"C";"2023-06-04";"189.8525";"75.7";"0.27";"905.3031";"20.97";"688.83";"23.6";"250.8004";"4286.17";"6931.78"
"C";"2023-06-03";"189.1701";"75.43";"0.27";"905.3031";"20.9";"690.23";"8.3";"250.8004";"4286.17";"6931.78"
"C";"2023-06-02";"188.4882";"75.15";"0.27";"905.3031";"20.82";"497.28";"24.6";"250.8004";"4285.02";"6931.78"
"E";"2023-06-01";"187.8107";"75.16";"0.17";"905.3031";"20.75";"465.92";"43.6";"249.8902";"4284.57";"6931.22"
"C";"2023-05-31";"187.3884";"74.99";"0.12";"905.3031";"20.7";"533.98";"25.7";"249.8902";"4284.57";"6931.22"
"C";"2023-05-30";"187.0818";"74.66";"0.34";"905.3031";"20.67";"636.13";"13.3";"250.5784";"4284.92";"6931.78"
"E";"2023-05-29";"186.2252";"74.32";"0.3";"905.3031";"20.57";"871.89";"15.6";"250.5784";"4284.92";"6931.78"
"C";"2023-05-28";"185.475";"74.02";"0.33";"905.3031";"20.49";"1090.48";"14.9";"250.5784";"4284.92";"6931.78"
"C";"2023-05-27";"184.6518";"73.69";"0.44";"905.3031";"20.4";"965.63";"5.8";"250.5784";"4284.92";"6931.78"
"C";"2023-05-26";"183.5432";"73.25";"0.3";"905.3031";"20.27";"794.63";"28.8";"250.5784";"4284.92";"6931.78"
"C";"2023-05-25";"182.7819";"72.94";"0.12";"905.3031";"20.19";"404.53";"97.7";"250.5784";"4284.92";"6931.78"
"C";"2023-05-24";"182.4761";"72.82";"0.14";"905.3031";"20.16";"432.85";"78.8";"250.5784";"4284.92";"6931.78"
"C";"2023-05-23";"182.121";"72.68";"0.2";"905.3031";"20.12";"588.71";"67.9";"250.5784";"4284.92";"6931.78"
"C";"2023-05-22";"181.6074";"72.48";"0.25";"905.3031";"20.06";"607.92";"41.5";"250.5784";"4284.92";"6931.78"
"C";"2023-05-21";"180.9878";"72.23";"0.54";"905.3031";"19.99";"1340.79";"0.2";"250.5784";"4284.92";"6931.78"
"C";"2023-05-20";"179.644";"71.69";"0.47";"905.3031";"19.84";"1188.37";"5.8";"250.5784";"4284.92";"6931.78"
"C";"2023-05-19";"178.4618";"71.22";"0.32";"905.3031";"19.71";"794.33";"2";"250.5784";"4284.92";"6931.78"
"C";"2023-05-18";"177.6699";"70.9";"0.25";"905.3031";"19.63";"688.01";"22.2";"250.5784";"4284.92";"6931.78"
"C";"2023-05-17";"177.0498";"70.66";"0.14";"905.3031";"19.56";"651.52";"316.3";"250.5784";"4284.92";"6931.78"
"C";"2023-05-16";"176.7021";"70.52";"0.26";"905.3031";"19.52";"479.9";"49.4";"250.5784";"4284.92";"6931.78"
"C";"2023-05-15";"176.0514";"70.32";"0.28";"905.3031";"19.45";"699.43";"8.1";"250.356";"4284.92";"6931.78"
"C";"2023-05-14";"175.3534";"70.04";"0.45";"905.3031";"19.37";"1121.93";"2.3";"250.356";"4284.92";"6931.78"
"C";"2023-05-13";"174.2352";"69.59";"0.43";"905.3031";"19.25";"1100.32";"26.2";"250.3768";"4284.92";"6931.78"
"C";"2023-05-12";"173.1628";"69.16";"0.24";"905.3031";"19.13";"778.13";"11.1";"250.3768";"4284.92";"6931.78"
"C";"2023-05-11";"172.5741";"68.93";"0.15";"905.3031";"19.06";"414.39";"26.8";"250.3768";"4284.92";"6931.78"
"C";"2023-05-10";"172.1873";"68.77";"0.14";"905.3031";"19.02";"381.1";"36";"250.3768";"4284.92";"6931.78"
"C";"2023-05-09";"171.8383";"68.63";"0.15";"905.3031";"18.98";"428.08";"47";"250.3768";"4284.92";"6931.78"
"E";"2023-05-08";"171.4598";"68.47";"0.35";"905.3031";"18.94";"880.27";"31.5";"250.4235";"4284.92";"6931.78"
"C";"2023-05-07";"170.588";"68.12";"0.37";"905.3031";"18.84";"958.8";"13";"250.4235";"4284.92";"6931.78"
"C";"2023-05-06";"169.6552";"67.75";"0.35";"905.3031";"18.74";"909.62";"12";"250.4235";"4284.92";"6931.78"
"C";"2023-05-05";"168.7797";"67.4";"0.26";"905.3031";"18.64";"638.78";"2.1";"250.4235";"4284.92";"6931.78"
"C";"2023-05-04";"168.139";"67.14";"-0.15";"905.3031";"18.57";"551.24";"925.7";"250.4235";"4284.92";"6931.78"
"E";"2023-05-03";"168.5147";"67.37";"0.1";"905.3031";"18.61";"329.35";"82.8";"250.1435";"4284.92";"6931.78"
"E";"2023-05-02";"168.2728";"67.27";"0.12";"905.3031";"18.59";"349.82";"53.7";"250.1435";"4284.92";"6931.78"
"C";"2023-05-01";"167.9701";"67.15";"0.32";"905.3031";"18.55";"816.83";"7.8";"250.1435";"4284.92";"6931.78"
"C";"2023-04-30";"167.1665";"66.83";"0.39";"905.3031";"18.47";"971.36";"2.6";"250.1435";"4284.92";"6931.78"
"C";"2023-04-29";"166.2009";"66.44";"0.35";"905.3031";"18.36";"893.15";"7.2";"250.1435";"4284.92";"6931.78"
"C";"2023-04-28";"165.3186";"66.09";"0.18";"905.3031";"18.26";"528.99";"24.3";"250.1435";"4284.92";"6931.78"
"C";"2023-04-27";"164.8622";"65.91";"0.04";"905.3031";"18.21";"184.76";"85.9";"250.1435";"4284.92";"6931.78"
"C";"2023-04-26";"164.7509";"65.86";"-0.06";"905.3031";"18.2";"74.67";"245.9";"250.1435";"4284.92";"6931.78"
"C";"2023-04-25";"164.911";"65.93";"0.18";"905.3031";"18.22";"497.9";"41.5";"250.1435";"4284.92";"6931.78"
"C";"2023-04-24";"164.457";"65.75";"0.29";"905.3031";"18.17";"756.94";"26.9";"250.1435";"4284.92";"6931.78"
"C";"2023-04-23";"163.7254";"65.45";"0.4";"905.3031";"18.09";"1007.24";"23.1";"250.1435";"4284.92";"6931.78"
"C";"2023-04-22";"162.7238";"65.05";"0.37";"905.3031";"17.97";"945.72";"19.6";"250.1435";"4284.92";"6931.78"
"C";"2023-04-21";"161.7955";"64.68";"0.07";"905.3031";"17.87";"271.5";"97.2";"250.1435";"4284.92";"6931.78"
"C";"2023-04-20";"161.6085";"64.61";"-0.01";"905.3031";"17.85";"116.51";"152.6";"250.1435";"4284.92";"6931.78"
"C";"2023-04-19";"161.6345";"64.62";"0.04";"905.3031";"17.85";"212.38";"128.9";"250.1435";"4284.92";"6931.78"
"C";"2023-04-18";"161.5358";"64.58";"0.04";"905.3031";"17.84";"153.61";"72.3";"250.1435";"4284.92";"6931.78"
"C";"2023-04-17";"161.4434";"64.54";"-0.02";"905.3031";"17.83";"139.38";"184.6";"250.1435";"4284.92";"6931.78"
"C";"2023-04-16";"161.4858";"64.56";"0.04";"905.3031";"17.84";"226.51";"134.4";"250.1435";"4284.92";"6931.78"
"C";"2023-04-15";"161.3864";"64.52";"0.08";"905.3031";"17.83";"280.29";"66.2";"250.1435";"4284.92";"6931.78"
"C";"2023-04-14";"161.1747";"64.43";"0.01";"905.3031";"17.8";"155.7";"141.2";"250.1435";"4284.92";"6931.78"
"C";"2023-04-13";"161.1541";"64.42";"-0.08";"905.3031";"17.8";"106.31";"315.9";"250.1435";"4284.92";"6931.78"
"C";"2023-04-12";"161.3577";"64.51";"0.05";"905.3031";"17.82";"297.04";"157.1";"250.1435";"4284.92";"6931.78"
"C";"2023-04-11";"161.233";"64.46";"0.13";"905.3031";"17.81";"326.01";"17.8";"250.1435";"4284.92";"6931.78"
"C";"2023-04-10";"160.9091";"64.33";"0.27";"905.3031";"17.77";"689.25";"9.7";"250.1435";"4284.92";"6931.78"
"C";"2023-04-09";"160.2362";"64.06";"0.23";"905.3031";"17.7";"609.6";"15";"250.1435";"4284.92";"6931.78"
"C";"2023-04-08";"159.6689";"63.83";"0.07";"905.3031";"17.64";"311.47";"105.6";"250.1435";"4284.92";"6931.78"
"C";"2023-04-07";"159.4944";"63.76";"-0.02";"905.3031";"17.62";"173.59";"204";"250.1435";"4284.92";"6931.78"
"C";"2023-04-06";"159.5402";"63.78";"-0.1";"905.3031";"17.62";"92.32";"332.1";"250.1435";"4284.92";"6931.78"
"C";"2023-04-05";"159.7984";"63.88";"-0.21";"905.3031";"17.65";"92.87";"628.2";"250.1435";"4284.92";"6931.78"
"C";"2023-04-04";"160.3132";"64.13";"-0.22";"905.3031";"17.71";"52.56";"600.6";"249.9965";"4283.24";"6929.88"
"E";"2023-04-03";"160.8686";"64.35";"-0.13";"905.3031";"17.77";"97.8";"404.2";"249.9965";"4283.24";"6929.88"
"E";"2023-04-02";"161.1839";"64.45";"0.03";"905.3031";"17.8";"261.53";"186.5";"250.1075";"4283.24";"6929.88"
"E";"2023-04-01";"161.1134";"64.42";"0.2";"905.3031";"17.8";"460.99";"37.9";"250.1075";"4283.24";"6929.88"
"C";"2023-03-31";"160.6135";"64.11";"0.03";"905.3031";"17.74";"282.45";"112.4";"250.5135";"4280.92";"6969.87"
"C";"2023-03-30";"160.5456";"64.09";"0.05";"905.3031";"17.73";"216.46";"77.8";"250.5135";"4280.92";"6969.87"
"C";"2023-03-29";"160.4226";"64.04";"-0.05";"905.3031";"17.72";"74.53";"190.6";"250.5135";"4280.92";"6969.87"
"C";"2023-03-28";"160.543";"64.09";"-0.17";"905.3031";"17.73";"64.41";"512.7";"250.5135";"4280.92";"6969.87"
"E";"2023-03-27";"160.9654";"64.25";"-0.18";"905.3031";"17.78";"57.67";"497.8";"250.5135";"4280.92";"6969.87"
"E";"2023-03-26";"161.4091";"64.43";"0.06";"905.3031";"17.83";"334.72";"198.8";"250.5135";"4280.92";"6969.87"
"E";"2023-03-25";"161.2513";"64.37";"0.16";"905.3031";"17.81";"557.95";"160.3";"250.5135";"4206.33";"6832.8"
"C";"2023-03-24";"160.8431";"64.21";"0.17";"905.3031";"17.77";"557.71";"141.6";"250.5135";"4279.47";"6967.76"
"C";"2023-03-23";"160.4206";"64.04";"0.15";"905.3031";"17.72";"537.41";"169.6";"250.5135";"4280.92";"6969.87"
"C";"2023-03-22";"160.042";"63.89";"0.08";"905.3031";"17.68";"380.65";"187.7";"250.5135";"4280.92";"6969.87"
"C";"2023-03-21";"159.8384";"63.8";"0.01";"905.3031";"17.66";"190.91";"169.1";"250.5135";"4280.92";"6969.87"
"C";"2023-03-20";"159.8124";"63.79";"-0.09";"905.3031";"17.65";"104.3";"237.8";"250.5135";"4280.92";"6969.87"
"C";"2023-03-19";"160.0289";"63.88";"0.11";"905.3031";"17.68";"403.85";"131.2";"250.5135";"4280.92";"6969.87"
"C";"2023-03-18";"159.7567";"63.77";"0.19";"905.3031";"17.65";"511.29";"141";"250.5135";"4280.92";"6969.87"
"C";"2023-03-17";"159.2827";"63.58";"-0.04";"905.3031";"17.59";"191.4";"298.9";"250.5135";"4280.92";"6969.87"
"C";"2023-03-16";"159.3926";"63.63";"-0.18";"905.3031";"17.61";"76.29";"504.4";"250.5135";"4280.92";"6969.87"
"C";"2023-03-15";"159.8361";"63.8";"-0.23";"905.3031";"17.66";"72.44";"641";"250.5135";"4280.92";"6969.87"
"C";"2023-03-14";"160.4223";"64.04";"-0.1";"905.3031";"17.72";"121.99";"372";"250.5135";"4280.92";"6969.87"
"C";"2023-03-13";"160.6807";"64.14";"-0.01";"905.3031";"17.75";"252.47";"295.8";"250.5135";"4280.92";"6969.87"
"C";"2023-03-12";"160.7129";"64.15";"-0.17";"905.3031";"17.75";"115.41";"514.9";"250.5135";"4280.92";"6969.87"
"C";"2023-03-11";"161.1358";"64.32";"-0.25";"905.3031";"17.8";"68.06";"673.9";"250.5135";"4280.92";"6969.87"
"C";"2023-03-10";"161.7527";"64.57";"-0.29";"905.3031";"17.87";"31.57";"728.9";"250.5135";"4280.92";"6969.87"
"C";"2023-03-09";"162.475";"64.86";"-0.49";"905.3031";"17.95";"50.39";"1229.6";"250.5135";"4280.92";"6969.87"
"C";"2023-03-08";"163.6934";"65.34";"-0.73";"905.3031";"18.08";"30.42";"1878.8";"250.5135";"4280.92";"6969.87"
"C";"2023-03-07";"165.5131";"66.07";"-0.66";"905.3031";"18.28";"29.12";"1668.7";"250.5135";"4280.92";"6969.87"
"C";"2023-03-06";"167.167";"66.73";"-0.52";"905.3031";"18.47";"22.45";"1317.6";"250.5135";"4280.92";"6969.87"
"C";"2023-03-05";"168.4745";"67.25";"-0.32";"905.3031";"18.61";"21.27";"809.7";"250.5135";"4280.92";"6969.87"
"C";"2023-03-04";"169.2774";"67.57";"-0.24";"905.3031";"18.7";"42.51";"608.9";"250.5135";"4280.92";"6969.87"
"C";"2023-03-03";"169.8772";"67.81";"-0.46";"905.3031";"18.76";"63.08";"1176.4";"250.5135";"4280.92";"6969.87"
"C";"2023-03-02";"171.0288";"68.27";"-0.51";"905.3031";"18.89";"40.23";"1271.2";"250.5135";"4280.92";"6969.87"
"C";"2023-03-01";"172.2957";"68.78";"-0.59";"905.3031";"19.03";"30.8";"1536.5";"250.5135";"4280.92";"6969.87"
"C";"2023-02-28";"173.7778";"69.37";"-0.6";"905.3031";"19.2";"69.07";"1540.9";"250.5135";"4280.92";"6969.87"
"C";"2023-02-27";"175.288";"69.97";"-0.4";"905.3031";"19.36";"64.69";"1533";"250.5135";"4280.92";"6969.87"
"C";"2023-02-26";"176.2992";"70.65";"-0.23";"905.3031";"19.47";"104.1";"672.7";"249.5458";"4274.47";"6953.74"
"C";"2023-02-25";"176.8711";"70.88";"-0.15";"905.3031";"19.54";"115.22";"478.4";"249.5458";"4274.47";"6953.74"
"C";"2023-02-24";"177.2368";"71.02";"-0.17";"905.3031";"19.58";"118.96";"540.1";"249.5458";"4274.47";"6953.74"
"E";"2023-02-23";"177.6602";"71.19";"-0.13";"905.3031";"19.62";"167.54";"493.6";"249.5458";"4274.47";"6953.74"
"C";"2023-02-22";"177.9845";"71.32";"-0.21";"905.3031";"19.66";"108.15";"629.4";"249.5458";"4274.47";"6953.74"
"C";"2023-02-21";"178.5026";"71.53";"-0.14";"905.3031";"19.72";"131.98";"494.2";"249.5458";"4274.47";"6953.74"
"C";"2023-02-20";"178.8586";"71.67";"-0.09";"905.3031";"19.76";"161.25";"398.5";"249.5458";"4274.47";"6953.74"
