,Date,EOAN.DE_big_energy_comp,XOM_big_energy_comp,ONGC_big_energy_comp,EQNR_big_energy_comp
0,2010-01-04,12.299388885498049,40.98310470581055,111.41653442382812,13.281021118164062
1,2010-01-05,12.307794570922852,41.14312744140625,113.3681869506836,13.281021118164062
2,2010-01-06,12.25737190246582,41.49871826171875,114.79906463623048,13.399005889892578
3,2010-01-07,12.156522750854492,41.36834716796875,114.92102813720705,13.327186584472656
4,2010-01-08,12.28258228302002,41.202396392822266,114.0671844482422,13.41952419281006
5,2010-01-09,12.28258228302002,41.202396392822266,114.0671844482422,13.41952419281006
6,2010-01-10,12.28258228302002,41.202396392822266,114.0671844482422,13.41952419281006
7,2010-01-11,12.337209701538086,41.6646728515625,114.14228057861328,13.578547477722168
8,2010-01-12,12.131311416625977,41.45723724365234,111.74493408203124,13.27589225769043
9,2010-01-13,12.047268867492676,41.29128646850586,112.15306854248048,13.30154037475586
10,2010-01-14,12.01785373687744,41.29721832275391,115.5731430053711,13.414393424987791
11,2010-01-15,11.70480251312256,40.95940017700195,113.51361846923828,13.296409606933594
12,2010-01-16,11.70480251312256,40.95940017700195,113.51361846923828,13.296409606933594
13,2010-01-17,11.70480251312256,40.95940017700195,113.51361846923828,13.296409606933594
14,2010-01-18,11.874984741210938,40.95940017700195,113.77161407470705,13.296409606933594
15,2010-01-19,12.061976432800291,41.05421829223633,112.29381561279295,13.055312156677246
16,2010-01-20,11.778338432312012,40.319313049316406,108.9488525390625,12.644923210144045
17,2010-01-21,11.635467529296877,39.53105926513672,106.9596939086914,12.244807243347168
18,2010-01-22,11.57033634185791,39.17546463012695,104.57176971435548,11.885716438293455
19,2010-01-23,11.57033634185791,39.17546463012695,104.57176971435548,11.885716438293455
20,2010-01-24,11.57033634185791,39.17546463012695,104.57176971435548,11.885716438293455
21,2010-01-25,11.341325759887695,39.02727508544922,105.1863250732422,11.931885719299316
22,2010-01-26,11.364436149597168,39.06877517700195,105.1863250732422,11.74721336364746
23,2010-01-27,11.395951271057127,38.84357452392578,104.04631805419922,11.793380737304688
24,2010-01-28,11.143827438354492,38.49982070922852,103.4317398071289,11.73182487487793
25,2010-01-29,11.20265769958496,38.18570327758789,102.8735122680664,11.470203399658203
26,2010-01-30,11.20265769958496,38.18570327758789,102.8735122680664,11.470203399658203
27,2010-01-31,11.20265769958496,38.18570327758789,102.8735122680664,11.470203399658203
28,2010-02-01,11.274090766906738,39.222877502441406,103.35669708251952,11.75234031677246
29,2010-02-02,11.393851280212402,39.6851692199707,103.68975830078124,12.080648422241213
30,2010-02-03,11.259385108947754,39.47180938720703,106.38262176513672,11.865199089050291
31,2010-02-04,11.03037166595459,38.35757827758789,106.92687225341795,11.275273323059082
32,2010-02-05,10.75723934173584,38.40501022338867,102.05243682861328,11.116249084472656
33,2010-02-06,10.75723934173584,38.40501022338867,102.05243682861328,11.116249084472656
34,2010-02-07,10.75723934173584,38.40501022338867,102.05243682861328,11.116249084472656
35,2010-02-08,10.904309272766112,38.3870964050293,104.91425323486328,11.064952850341797
36,2010-02-09,10.879100799560549,38.89415740966797,103.79767608642578,11.39838695526123
37,2010-02-10,10.891705513000488,38.68535614013672,101.9914779663086,11.121379852294922
38,2010-02-11,10.874897003173828,38.918006896972656,103.2347412109375,11.418907165527344
39,2010-02-12,10.879100799560549,38.65554428100586,103.2347412109375,11.152155876159668
40,2010-02-13,10.879100799560549,38.65554428100586,103.2347412109375,11.152155876159668
41,2010-02-14,10.879100799560549,38.65554428100586,103.2347412109375,11.152155876159668
42,2010-02-15,10.97994899749756,38.65554428100586,102.11344146728516,11.152155876159668
43,2010-02-16,11.15643310546875,39.53841400146485,103.49273681640624,11.711305618286133
44,2010-02-17,11.21526336669922,39.22822570800781,103.18309020996094,11.454814910888672
45,2010-02-18,11.253079414367676,39.3475227355957,103.53964233398438,11.603580474853516
46,2010-02-19,11.31611156463623,39.293827056884766,104.13078308105467,11.57793140411377
47,2010-02-20,11.31611156463623,39.293827056884766,104.13078308105467,11.57793140411377
48,2010-02-21,11.31611156463623,39.293827056884766,104.13078308105467,11.57793140411377
49,2010-02-22,11.219464302062988,39.013465881347656,103.9149398803711,11.75234031677246
50,2010-02-23,11.0765962600708,38.73904800415039,103.35199737548828,11.511241912841797
51,2010-02-24,11.124919891357422,39.10294723510742,103.32853698730467,11.670268058776855
52,2010-02-25,10.858089447021484,38.85834884643555,104.1354751586914,11.459946632385254
53,2010-02-26,10.990453720092772,38.77485656738281,104.86262512207033,11.52663230895996
54,2010-02-27,10.990453720092772,38.77485656738281,104.86262512207033,11.52663230895996
55,2010-02-28,10.990453720092772,38.77485656738281,104.86262512207033,11.52663230895996
56,2010-03-01,11.173243522644045,39.013465881347656,104.86262512207033,11.670268058776855
57,2010-03-02,11.223668098449709,39.06714630126953,104.06037139892578,11.721565246582031
58,2010-03-03,11.257280349731444,39.031341552734375,103.2910385131836,11.8139009475708
59,2010-03-04,11.173243522644045,39.013465881347656,102.74681854248048,11.675395011901855
60,2010-03-05,11.290900230407717,39.65174865722656,102.6952133178711,12.054999351501465
61,2010-03-06,11.290900230407717,39.65174865722656,102.6952133178711,12.054999351501465
62,2010-03-07,11.290900230407717,39.65174865722656,102.6952133178711,12.054999351501465
63,2010-03-08,11.286700248718262,39.65771865844727,103.2581558227539,11.988313674926758
64,2010-03-09,11.295103073120115,39.83667755126953,102.85469818115234,11.87545680999756
65,2010-03-10,11.450579643249512,40.099151611328125,102.1369171142578,12.157591819763184
