,0
68,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-01"",95.26197,"
69,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-02"",95.86362,"
70,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-03"",97.16721,"
71,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-04"",97.46804,"
72,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-05"",96.76611,"
73,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-06"",98.47079,"
74,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-07"",96.96666,"
75,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-08"",99.07245,"
76,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-09"",98.47079,"
77,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-10"",97.86914,"
78,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-11"",99.87466,"
79,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2013-12"",100.2758,"
80,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-01"",99.6741,"
81,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-02"",99.87466,"
82,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-03"",100.0752,"
83,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-04"",99.77438,"
84,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-05"",98.97218,"
85,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-06"",98.97218,"
86,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-07"",101.078,"
87,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-08"",97.16721,"
88,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-09"",99.37328,"
89,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-10"",99.6741,"
90,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-11"",99.77438,"
91,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2014-12"",101.4791,"
92,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-01"",98.77162,"
93,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-02"",99.6741,"
94,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-03"",99.6741,"
95,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-04"",100.4763,"
96,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-05"",100.7771,"
97,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-06"",100.4763,"
98,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-07"",101.8802,"
99,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-08"",99.273,"
100,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-09"",99.37328,"
101,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-10"",100.5766,"
102,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-11"",99.17272,"
103,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2015-12"",99.87466,"
104,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-01"",101.4791,"
105,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-02"",101.4791,"
106,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-03"",100.4763,"
107,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-04"",101.2785,"
108,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-05"",99.37328,"
109,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-06"",101.3788,"
110,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-07"",99.87466,"
111,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-08"",101.4791,"
112,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-09"",101.2785,"
113,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-10"",102.0807,"
114,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-11"",101.6796,"
115,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2016-12"",99.47355,"
116,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-01"",101.078,"
117,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-02"",102.181,"
118,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-03"",101.7799,"
119,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-04"",103.4846,"
120,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-05"",103.5849,"
121,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-06"",103.4846,"
122,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-07"",104.2868,"
123,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-08"",106.5931,"
124,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-09"",105.5904,"
125,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-10"",103.986,"
126,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-11"",107.7964,"
127,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2017-12"",107.0945,"
128,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-01"",106.6934,"
129,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-02"",104.4873,"
130,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-03"",106.0918,"
131,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-04"",105.6907,"
132,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-05"",107.2951,"
133,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-06"",106.894,"
134,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-07"",104.7882,"
135,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-08"",105.7909,"
136,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-09"",104.9887,"
137,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-10"",104.8884,"
138,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-11"",102.9832,"
139,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2018-12"",103.986,"
140,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-01"",103.6851,"
141,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-02"",103.284,"
142,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-03"",104.3871,"
143,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-04"",102.9832,"
144,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-05"",103.4846,"
145,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-06"",102.3815,"
146,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-07"",101.9804,"
147,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-08"",102.2813,"
148,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-09"",101.1782,"
149,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-10"",100.6769,"
150,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-11"",100.7771,"
151,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2019-12"",98.37052,"
152,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-01"",101.5793,"
153,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-02"",102.3815,"
154,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-03"",91.55177,"
155,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-04"",71.39634,"
156,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-05"",79.91978,"
157,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-06"",89.24542,"
158,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-07"",91.55177,"
159,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-08"",90.84984,"
160,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-09"",93.45701,"
161,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-10"",97.16721,"
162,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-11"",98.57107,"
163,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2020-12"",98.57107,"
164,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-01"",98.47079,"
165,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-02"",96.56555,"
166,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-03"",98.57107,"
167,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-04"",98.27024,"
168,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-05"",96.96666,"
169,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-06"",95.86362,"
170,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-07"",97.36776,"
171,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-08"",93.0559,"
172,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-09"",92.55453,"
173,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-10"",96.06418,"
174,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-11"",96.66583,"
175,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2021-12"",97.66859,"
176,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-01"",97.76887,"
177,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-02"",97.56831,"
178,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-03"",93.95839,"
179,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-04"",94.86087,"
180,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-05"",95.9639,"
181,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-06"",96.66583,"
182,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-07"",96.16445,"
183,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-08"",96.06418,"
184,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-09"",97.36776,"
185,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-10"",96.56555,"
186,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-11"",97.56831,"
187,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2022-12"",95.46252,"
188,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2023-01"",96.96666,"
189,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2023-02"",98.87189,"
190,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2023-03"",96.76611,"
191,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2023-04"",97.06693,"
192,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2023-05"",97.26749,"
193,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2023-06"",96.36501,"
194,"DEU,""INDPROD"",""MFG"",""IDX2015"",""M"",""2023-07"",94.56004,"
